time,Theta_set,Theta_input
1143,45,87.26
1144,45,87.26
1145,45,87.27
1146,45,87.26
1147,45,87.27
1148,45,87.26
1149,45,87.26
1150,45,87.27
1151,40,87.25
1152,40,87.26
1153,40,87.25
1154,40,87.26
1155,40,87.26
1156,40,87.27
1157,40,87.26
1158,40,87.26
1159,40,87.26
1160,40,87.26
1161,40,87.26
1162,40,87.25
1163,40,87.26
1164,40,87.26
1165,40,87.26
1166,40,87.26
1167,40,87.26
1168,40,87.26
1169,40,87.26
1170,40,87.26
1171,40,87.26
1172,40,87.26
1173,40,87.26
1174,40,87.25
1175,40,87.26
1176,40,87.25
1177,40,87.25
1178,40,87.26
1179,40,87.25
1180,40,87.25
1181,40,87.26
1182,40,87.27
1183,40,87.26
1184,40,87.26
1185,40,87.25
1186,40,87.26
1187,40,87.27
1188,40,87.26
1189,40,87.26
1190,40,87.26
1191,40,87.27
1192,40,87.26
1193,40,87.27
1194,40,87.27
1195,40,87.26
1196,40,87.26
1197,40,87.27
1198,40,87.27
1199,40,87.27
1200,40,87.26
1201,40,87.26
1202,40,87.27
1203,40,87.25
1204,40,87.26
1205,40,87.27
1206,40,87.26
1207,40,87.26
1208,40,87.27
1209,40,87.26
1210,40,87.27
1211,40,87.27
1212,40,87.26
1213,40,87.26
1214,40,87.27
1215,40,87.26
1216,40,87.27
1217,40,87.26
1218,40,87.26
1219,40,87.26
1220,40,87.26
1221,40,87.26
1222,40,87.27
1223,40,87.27
1224,40,87.26
1225,40,87.27
1226,40,87.28
1227,40,87.26
1228,40,87.27
1229,40,87.27
1230,40,87.27
1231,40,87.27
1232,40,87.28
1233,40,87.27
1234,40,87.27
1235,40,87.28
1236,40,87.27
1237,40,87.27
1238,40,87.27
1239,40,87.27
1240,40,87.27
1241,40,87.28
1242,40,87.27
1243,40,87.27
1244,40,87.27
1245,40,87.27
1246,40,87.27
1247,40,87.26
1248,40,87.27
1249,40,87.27
1250,40,87.27
1251,40,87.27
1252,40,87.27
1253,40,87.27
1254,40,87.27
