ime,Theta_set,Theta_input
856,45,44.11
857,45,43.74
858,45,43.49
859,45,43.42
860,45,43.51
861,45,43.74
862,45,44.04
863,45,44.34
864,45,44.66
865,45,44.92
866,45,45.05
867,45,44.94
868,45,44.75
869,45,44.56
870,45,44.21
871,45,43.92
872,45,43.8
873,45,43.78
874,45,43.79
875,45,43.86
876,45,43.92
877,45,43.95
878,45,43.9
879,45,43.82
880,45,43.75
881,45,43.69
882,45,43.64
883,45,43.57
884,45,43.47
885,45,43.37
886,45,43.24
887,45,43.12
888,45,42.97
889,45,42.83
890,45,42.69
891,45,42.55
892,45,42.41
893,45,42.27
894,45,42.12
895,45,41.98
896,45,41.84
897,45,41.69
898,45,41.55
899,45,41.4
900,45,41.28
901,40,41.15
902,40,41.03
903,40,40.94
904,40,40.86
905,40,40.8
906,40,40.74
907,40,40.69
908,40,40.65
909,40,40.59
910,40,40.53
911,40,40.48
912,40,40.44
913,40,40.4
914,40,40.38
915,40,40.38
916,40,40.39
917,40,40.42
918,40,40.49
919,40,40.55
920,40,40.62
921,40,40.72
922,40,40.81
923,40,40.91
924,40,41.01
925,40,41.13
926,40,41.26
927,40,41.37
928,40,41.4
929,40,41.44
930,40,41.33
931,40,41.01
932,40,40.66
933,40,40.46
934,40,40.51
935,40,40.74
936,40,41.03
937,40,41.32
938,40,41.54
939,40,41.56
940,40,41.36
941,40,41.14
942,40,40.97
943,40,40.75
944,40,40.54
945,40,40.46
946,40,40.56
947,40,40.81
948,40,41.18
949,40,41.53
950,40,41.83
951,40,41.96
952,40,41.94
953,40,41.82
954,40,41.66
955,40,41.45
956,40,41.22
957,40,41.01
958,40,40.81
959,40,40.55
960,40,40.26
961,40,40.01
962,40,39.77
963,40,39.55
964,40,39.42
965,40,39.37
966,40,39.36
967,40,39.44
968,40,39.53
969,40,39.66
970,40,39.83
971,40,40
972,40,40.18
973,40,40.32
974,40,40.3
975,40,40.29
976,40,40.42
977,40,40.64
978,40,40.9
979,40,41.11
980,40,41.24
981,40,41.26
982,40,41.19
983,40,41.06
984,40,40.84
985,40,40.61
986,40,40.4
987,40,40.31
988,40,40.3
989,40,40.36
990,40,40.37
991,40,40.26
992,40,40.08
993,40,39.89
994,40,39.72
995,40,39.41
996,40,39.08
997,40,38.7
998,40,38.41
999,40,38.27
1000,40,38.29
1001,40,38.47
1002,40,38.7
1003,40,38.95
1004,40,39.15
1005,40,39.32
1006,40,39.45
1007,40,39.59
1008,40,39.59
1009,40,39.71
1010,40,39.81
1011,40,39.9
1012,40,39.98
1013,40,40.09
1014,40,40.17
1015,40,40.23
1016,40,40.31
1017,40,40.47
1018,40,40.64
1019,40,40.79
1020,40,40.92
1021,40,40.82
1022,40,40.63
1023,40,40.48
1024,40,40.42
1025,40,40.48
1026,40,40.59
1027,40,40.69
1028,40,40.64
1029,40,40.29
1030,40,39.76
1031,40,39.27
1032,40,38.81
1033,40,38.49
1034,40,38.41
1035,40,38.55
1036,40,38.81
1037,40,39.11
1038,40,39.4
1039,40,39.63
1040,40,39.75
1041,40,39.8
1042,40,39.78
1043,40,39.74
1044,40,39.71
1045,40,39.71
1046,40,39.75
1047,40,39.81
1048,40,39.92
1049,40,40.05
1050,40,40.21
1051,40,40.35
1052,40,40.4
1053,45,40.36
1054,45,40.39
1055,45,40.57
1056,45,40.78
1057,45,40.93
1058,45,40.98
1059,45,40.91
1060,45,40.82
1061,45,40.75
1062,45,40.69
1063,45,40.64
1064,45,40.62
1065,45,40.61
1066,45,40.62
1067,45,40.65
1068,45,40.67
1069,45,40.69
1070,45,40.72
1071,45,40.73
1072,45,40.73
1073,45,40.73
1074,45,40.73
1075,45,41.11
1076,45,42.01
1077,45,43.07
1078,45,44.13
1079,45,45.01
1080,45,45.8
1081,45,46.58
1082,45,47.31
1083,45,48.11
1084,45,48.91
1085,45,49.68
1086,45,50.44
1087,45,51.21
1088,45,51.81
1089,45,52.14
1090,45,52.18
1091,45,51.96
1092,45,51.61
1093,45,51.19
1094,45,50.73
1095,45,50.22
1096,45,49.71
1097,45,49.14
1098,45,48.51
1099,45,47.84
1100,45,47.14
1101,45,46.37
1102,45,45.64
1103,45,45.03
1104,45,44.57
1105,45,44.24
1106,45,44.02
1107,45,43.95
1108,45,43.97
1109,45,44.06
1110,45,44.23
1111,45,44.45
1112,45,44.62
1113,45,44.71
1114,45,44.72
1115,45,44.65
1116,45,44.56
1117,45,44.48
1118,45,44.4
1119,45,44.37
1120,45,44.34
1121,45,44.33
1122,45,44.32
1123,45,44.29
1124,45,44.27
1125,45,44.24
1126,45,44.2
1127,45,44.14
1128,45,44.07
1129,45,43.99
1130,45,43.92
1131,45,43.84
